;Rooms;Price;Distance;Bathroom;Car;Landsize;Lattitude;Longtitude;Propertycount
34;2;1180000.0;2.5;1.0;0.0;162.0;-37.8016;144.9956;4019.0
35;3;1195000.0;2.5;2.0;1.0;120.0;-37.8022;144.9954;4019.0
36;2;1012500.0;2.5;1.0;0.0;182.0;-37.8021;144.9976;4019.0
37;2;1030000.0;2.5;1.0;1.0;172.0;-37.8086;144.9946;4019.0
38;3;840000.0;13.5;2.0;1.0;303.0;-37.718;144.878;3464.0
39;3;730000.0;13.5;2.0;1.0;0.0;-37.7203;144.8755;3464.0
40;3;770000.0;13.5;2.0;1.0;0.0;-37.7203;144.8755;3464.0
41;2;603000.0;13.5;1.0;1.0;272.0;-37.7294;144.888;3464.0
42;3;700000.0;13.5;2.0;2.0;239.0;-37.7218;144.8837;3464.0
43;3;600000.0;13.5;1.0;1.0;290.0;-37.7273;144.8744;3464.0
44;2;500000.0;13.5;1.0;1.0;168.0;-37.7215;144.8864;3464.0
45;3;720000.0;13.5;1.0;1.0;620.0;-37.7173;144.8872;3464.0
46;4;785000.0;13.5;1.0;2.0;597.0;-37.7259;144.8792;3464.0
47;6;725000.0;13.5;3.0;2.0;976.0;-37.7239;144.8735;3464.0
48;2;450000.0;13.5;1.0;1.0;110.0;-37.7216;144.871;3464.0
49;2;515000.0;13.5;1.0;1.0;141.0;-37.7298;144.8883;3464.0
50;2;530000.0;13.5;1.0;1.0;120.0;-37.7234;144.8792;3464.0
51;3;895000.0;13.5;1.0;6.0;1063.0;-37.7249;144.8728;3464.0
52;3;805000.0;13.5;1.0;1.0;0.0;-37.7217;144.8783;3464.0
53;3;752000.0;13.5;1.0;1.0;265.0;-37.7302;144.8855;3464.0
54;2;440000.0;13.5;1.0;1.0;192.0;-37.7177;144.8787;3464.0
55;5;755000.0;13.5;2.0;2.0;596.0;-37.7248;144.8699;3464.0
56;3;700000.0;13.5;2.0;2.0;165.0;-37.727;144.887;3464.0
57;3;830000.0;13.5;1.0;2.0;971.0;-37.7186;144.876;3464.0
58;2;462500.0;13.5;1.0;1.0;164.0;-37.7218;144.8863;3464.0
59;3;670000.0;13.5;2.0;2.0;657.0;-37.7269;144.8742;3464.0
60;2;675000.0;13.5;1.0;1.0;612.0;-37.7187;144.8765;3464.0
61;3;1042000.0;13.5;2.0;5.0;612.0;-37.7173;144.8796;3464.0
62;3;910000.0;13.5;1.0;1.0;775.0;-37.7231;144.8835;3464.0
63;4;773000.0;13.5;3.0;4.0;531.0;-37.7263;144.8679;3464.0
64;3;810000.0;13.5;3.0;2.0;555.0;-37.7285;144.8694;3464.0
65;3;715000.0;13.5;2.0;2.0;422.0;-37.7164;144.8792;3464.0
66;3;790000.0;13.5;1.0;3.0;614.0;-37.7194;144.8827;3464.0
67;3;540000.0;13.5;2.0;1.0;161.0;-37.7231;144.8802;3464.0
68;3;825000.0;13.5;2.0;1.0;293.0;-37.72;144.8776;3464.0
69;3;685000.0;13.5;1.0;1.0;579.0;-37.7226;144.8733;3464.0
70;3;805000.0;13.5;1.0;1.0;623.0;-37.7184;144.882;3464.0
71;2;510000.0;13.5;1.0;1.0;141.0;-37.7202;144.8797;3464.0
72;3;612000.0;13.5;2.0;1.0;212.0;-37.7181;144.8824;3464.0
73;3;662000.0;13.5;1.0;2.0;612.0;-37.7169;144.8815;3464.0
74;4;978000.0;13.5;3.0;2.0;532.0;-37.7263;144.869;3464.0
75;3;720000.0;13.5;1.0;1.0;585.0;-37.72;144.878;3464.0
76;4;765000.0;13.5;1.0;2.0;509.0;-37.7261;144.8785;3464.0
77;4;900000.0;13.5;2.0;3.0;628.0;-37.7256;144.8739;3464.0
78;2;1275000.0;3.3;1.0;0.0;120.0;-37.8459;144.9555;3280.0
79;2;1455000.0;3.3;1.0;0.0;159.0;-37.845;144.9538;3280.0
80;3;2850000.0;3.3;2.0;0.0;211.0;-37.8481;144.9499;3280.0
81;3;1850000.0;3.3;2.0;0.0;128.0;-37.8452;144.9488;3280.0
82;2;1436000.0;3.3;1.0;0.0;130.0;-37.8431;144.9565;3280.0
83;2;1110000.0;3.3;1.0;0.0;147.0;-37.8444;144.9484;3280.0
84;2;1550000.0;3.3;1.0;1.0;167.0;-37.8405;144.9521;3280.0
85;4;2300000.0;3.3;2.0;1.0;153.0;-37.8447;144.9523;3280.0
86;3;1550000.0;3.3;2.0;2.0;718.0;-37.8443;144.9598;3280.0
87;3;1800000.0;3.3;2.0;1.0;132.0;-37.8415;144.952;3280.0
88;2;2120000.0;3.3;1.0;1.0;199.0;-37.8422;144.9554;3280.0
89;3;1800000.0;3.3;1.0;1.0;253.0;-37.8443;144.9579;3280.0
90;3;1800000.0;3.3;2.0;1.0;90.0;-37.8421;144.9571;3280.0
91;2;1810000.0;3.3;1.0;0.0;240.0;-37.8379;144.9539;3280.0
92;3;2615000.0;3.3;2.0;1.0;177.0;-37.8415;144.9585;3280.0
93;5;2100000.0;3.3;2.0;1.0;237.0;-37.8436;144.9557;3280.0
94;3;1300000.0;3.3;1.0;0.0;129.0;-37.8422;144.94899999999996;3280.0
95;3;1370000.0;3.3;2.0;2.0;0.0;-37.8451;144.9511;3280.0
96;2;1000000.0;3.3;1.0;0.0;288.0;-37.8407;144.9523;3280.0
97;3;2575000.0;3.3;2.0;1.0;228.0;-37.8445;144.9501;3280.0
98;2;1322500.0;3.3;1.0;0.0;149.0;-37.8443;144.9481;3280.0
99;2;1562500.0;3.3;1.0;0.0;141.0;-37.8424;144.9562;3280.0
100;3;2000000.0;3.3;2.0;1.0;211.0;-37.847;144.9575;3280.0
101;3;1900000.0;3.3;1.0;0.0;209.0;-37.8468;144.9546;3280.0
102;3;3010000.0;3.3;2.0;0.0;147.0;-37.8473;144.9551;3280.0
103;4;2800000.0;3.3;3.0;1.0;327.0;-37.8467;144.9475;3280.0
104;2;647000.0;3.3;1.0;1.0;0.0;-37.846;144.9542;3280.0
105;3;2100000.0;3.3;1.0;1.0;120.0;-37.8427;144.9546;3280.0
106;3;2000000.0;3.3;1.0;1.0;238.0;-37.8461;144.9528;3280.0
107;1;442500.0;3.3;1.0;0.0;0.0;-37.8421;144.9517;3280.0
108;4;4735000.0;3.3;2.0;1.0;330.0;-37.8477;144.9558;3280.0
109;2;1340000.0;3.3;1.0;0.0;136.0;-37.846;144.9517;3280.0
110;3;1801000.0;3.3;1.0;1.0;202.0;-37.8429;144.9493;3280.0
111;3;1532000.0;3.3;3.0;1.0;0.0;-37.8415;144.9585;3280.0
112;3;3755000.0;3.3;2.0;2.0;325.0;-37.8413;144.95;3280.0
113;4;2140000.0;3.3;2.0;1.0;183.0;-37.8434;144.9495;3280.0
114;2;1750000.0;3.3;1.0;1.0;162.0;-37.8416;144.9488;3280.0
115;2;980000.0;3.3;1.0;0.0;79.0;-37.8387;144.9519;3280.0
116;3;2030000.0;3.3;2.0;0.0;152.0;-37.8488;144.9551;3280.0
117;3;1740000.0;3.3;2.0;2.0;147.0;-37.8448;144.9453;3280.0
118;3;2800000.0;3.3;3.0;1.0;0.0;-37.8399;144.9577;3280.0
119;1;985000.0;3.3;1.0;0.0;81.0;-37.8411;144.9497;3280.0
120;4;2000000.0;6.4;2.0;4.0;853.0;-37.7707;145.0318;2211.0
121;3;1110000.0;6.4;2.0;2.0;208.0;-37.7854;145.0325;2211.0
122;3;1492000.0;6.4;2.0;2.0;411.0;-37.7713;145.0279;2211.0
123;4;1717500.0;6.4;2.0;1.0;599.0;-37.7717;145.031;2211.0
124;5;2840000.0;6.4;4.0;4.0;809.0;-37.775;145.0268;2211.0
125;2;525500.0;6.4;1.0;1.0;88.0;-37.7791;145.0306;2211.0
126;2;805000.0;6.4;2.0;3.0;155.0;-37.7804;145.0308;2211.0
127;2;465000.0;6.4;1.0;1.0;0.0;-37.7773;145.0314;2211.0
128;3;2000000.0;6.4;3.0;2.0;686.0;-37.78;145.0341;2211.0
129;3;1540000.0;6.4;1.0;2.0;592.0;-37.7755;145.0288;2211.0
130;2;820000.0;6.4;1.0;1.0;183.0;-37.7747;145.0264;2211.0
131;4;1830000.0;6.4;2.0;2.0;606.0;-37.7743;145.0316;2211.0
132;4;2100000.0;6.4;2.0;2.0;575.0;-37.7723;145.0319;2211.0
133;3;865000.0;6.4;1.0;1.0;180.0;-37.7802;145.0243;2211.0
134;2;390000.0;6.4;1.0;1.0;0.0;-37.7773;145.0314;2211.0
135;2;650000.0;6.4;1.0;0.0;0.0;-37.7848;145.025;2211.0
136;2;512000.0;6.4;1.0;1.0;0.0;-37.7805;145.0262;2211.0
137;3;1165000.0;6.4;1.0;2.0;979.0;-37.7792;145.029;2211.0
138;4;1900000.0;6.4;2.0;2.0;556.0;-37.7844;145.0225;2211.0
139;3;1485000.0;6.4;0.0;0.0;597.0;-37.7781;145.0284;2211.0
140;4;1950000.0;6.4;2.0;3.0;589.0;-37.7719;145.0309;2211.0
141;3;520000.0;13.8;2.0;1.0;352.0;-37.87;144.825;5301.0
142;5;1525000.0;13.8;3.0;3.0;729.0;-37.8721;144.8105;5301.0
143;2;720000.0;13.8;1.0;2.0;292.0;-37.8687;144.8197;5301.0
144;3;1120000.0;13.8;1.0;2.0;506.0;-37.8693;144.8375;5301.0
145;4;780000.0;13.8;1.0;4.0;655.0;-37.868;144.8154;5301.0
146;4;1780000.0;13.8;3.0;6.0;1057.0;-37.8681;144.819;5301.0
147;3;630000.0;13.8;1.0;2.0;311.0;-37.8702;144.8143;5301.0
148;2;406000.0;13.8;1.0;1.0;65.0;-37.8693;144.8171;5301.0
149;3;660000.0;13.8;1.0;1.0;602.0;-37.8616;144.8116;5301.0
150;3;683500.0;13.8;1.0;1.0;530.0;-37.8594;144.817;5301.0
151;2;580000.0;13.8;1.0;1.0;225.0;-37.8696;144.827;5301.0
152;3;1335000.0;13.8;1.0;4.0;777.0;-37.8697;144.8249;5301.0
153;3;800000.0;13.8;2.0;2.0;280.0;-37.8734;144.8143;5301.0
154;2;510000.0;13.8;1.0;1.0;127.0;-37.8686;144.8182;5301.0
155;4;1070000.0;13.8;2.0;2.0;695.0;-37.8733;144.8147;5301.0
156;2;425000.0;13.8;1.0;2.0;115.0;-37.871;144.8185;5301.0
157;3;605000.0;13.8;2.0;2.0;230.0;-37.8646;144.827;5301.0
158;3;705000.0;13.8;2.0;2.0;197.0;-37.8579;144.8181;5301.0
159;2;391000.0;13.8;1.0;1.0;0.0;-37.8678;144.8384;5301.0
160;2;440000.0;13.8;1.0;1.0;0.0;-37.8659;144.83100000000005;5301.0
161;4;845000.0;13.8;1.0;2.0;745.0;-37.8658;144.8155;5301.0
162;3;743000.0;13.8;2.0;2.0;211.0;-37.8698;144.816;5301.0
163;3;730000.0;13.8;2.0;1.0;69.0;-37.868;144.8286;5301.0
164;3;635000.0;13.8;1.0;4.0;625.0;-37.8611;144.8114;5301.0
165;2;620000.0;13.8;1.0;1.0;168.0;-37.8676;144.8202;5301.0
166;2;447000.0;13.8;1.0;1.0;137.0;-37.8655;144.8299;5301.0
167;3;730000.0;13.8;2.0;1.0;70.0;-37.868;144.8287;5301.0
168;3;678000.0;13.8;1.0;2.0;606.0;-37.8608;144.8124;5301.0
169;2;580000.0;13.8;2.0;1.0;175.0;-37.8687;144.8268;5301.0
170;3;712000.0;13.8;1.0;2.0;363.0;-37.8674;144.8375;5301.0
171;3;840000.0;13.8;2.0;2.0;534.0;-37.86;144.8245;5301.0
172;3;980000.0;13.8;1.0;2.0;724.0;-37.8672;144.817;5301.0
173;3;605100.0;13.8;2.0;0.0;265.0;-37.8583;144.8172;5301.0
174;3;880000.0;13.8;3.0;1.0;577.0;-37.8699;144.8235;5301.0
175;3;577000.0;13.8;2.0;1.0;205.0;-37.8684;144.815;5301.0
176;4;1030000.0;13.8;1.0;0.0;797.0;-37.8663;144.8387;5301.0
177;3;605000.0;13.8;1.0;2.0;181.0;-37.8659;144.822;5301.0
178;3;753000.0;13.8;2.0;2.0;529.0;-37.8612;144.8247;5301.0
179;2;857000.0;13.8;2.0;1.0;675.0;-37.8653;144.8129;5301.0
180;3;1500000.0;13.8;1.0;1.0;929.0;-37.8651;144.832;5301.0
181;3;730000.0;13.8;2.0;1.0;70.0;-37.868;144.8285;5301.0
182;3;900000.0;13.8;1.0;4.0;697.0;-37.871;144.8075;5301.0
183;3;740000.0;13.8;1.0;2.0;604.0;-37.8631;144.8195;5301.0
184;4;931000.0;13.8;2.0;3.0;532.0;-37.8637;144.8365;5301.0
185;2;535600.0;13.8;1.0;1.0;154.0;-37.8646;144.8272;5301.0
186;5;1085000.0;11.1;3.0;6.0;592.0;-37.8388;144.8567;5132.0
187;3;781000.0;11.1;1.0;2.0;533.0;-37.8291;144.835;5132.0
188;3;750000.0;11.1;1.0;3.0;554.0;-37.8449;144.85;5132.0
189;2;421000.0;11.1;1.0;1.0;77.0;-37.8351;144.8529;5132.0
190;3;1405000.0;11.1;1.0;3.0;655.0;-37.8338;144.8562;5132.0
191;3;683000.0;11.1;1.0;2.0;534.0;-37.8284;144.8355;5132.0
192;3;623000.0;11.1;1.0;3.0;540.0;-37.8267;144.8368;5132.0
193;3;720000.0;11.1;2.0;1.0;0.0;-37.8379;144.8583;5132.0
194;3;588000.0;11.1;1.0;1.0;328.0;-37.838;144.8555;5132.0
195;3;710000.0;11.1;1.0;3.0;540.0;-37.8294;144.8378;5132.0
196;4;875000.0;11.1;1.0;4.0;559.0;-37.8448;144.8529;5132.0
197;3;700000.0;11.1;1.0;3.0;554.0;-37.8449;144.85;5132.0
198;2;640000.0;11.1;1.0;1.0;252.0;-37.8397;144.8602;5132.0
199;4;650000.0;11.1;1.0;4.0;558.0;-37.8451;144.8529;5132.0
200;3;675000.0;11.1;2.0;2.0;171.0;-37.8337;144.8554;5132.0
201;3;708000.0;11.1;1.0;2.0;585.0;-37.8258;144.8523;5132.0
202;4;965000.0;11.1;1.0;4.0;851.0;-37.8345;144.8444;5132.0
203;3;680000.0;11.1;1.0;3.0;551.0;-37.8254;144.8514;5132.0
204;3;770000.0;11.1;1.0;3.0;602.0;-37.8327;144.8451;5132.0
205;3;923000.0;11.1;1.0;2.0;740.0;-37.8269;144.8455;5132.0
206;4;693000.0;11.1;2.0;4.0;315.0;-37.8391;144.8467;5132.0
207;3;620000.0;11.1;2.0;2.0;276.0;-37.8262;144.8443;5132.0
208;3;728500.0;11.1;1.0;1.0;531.0;-37.8277;144.8385;5132.0
209;3;931000.0;11.1;2.0;1.0;590.0;-37.8382;144.8649;5132.0
210;3;988000.0;11.1;1.0;4.0;715.0;-37.8423;144.8632;5132.0
211;3;590000.0;11.1;1.0;2.0;561.0;-37.8444;144.8491;5132.0
212;2;610000.0;11.1;1.0;2.0;691.0;-37.834;144.8553;5132.0
213;3;815000.0;11.1;2.0;3.0;555.0;-37.8318;144.8388;5132.0
214;4;970000.0;11.1;1.0;2.0;708.0;-37.833;144.8494;5132.0
215;4;760000.0;11.1;1.0;3.0;668.0;-37.8262;144.8439;5132.0
216;4;847500.0;11.1;3.0;1.0;252.0;-37.8393;144.8568;5132.0
217;4;1200000.0;11.1;1.0;4.0;633.0;-37.8375;144.8541;5132.0
218;3;700000.0;11.1;1.0;1.0;557.0;-37.8441;144.8505;5132.0
219;3;625000.0;11.1;1.0;1.0;536.0;-37.8285;144.8351;5132.0
220;2;292000.0;11.1;1.0;1.0;153.0;-37.8332;144.8649;5132.0
221;2;599000.0;6.3;1.0;1.0;0.0;-37.8543;145.0262;4836.0
222;2;550000.0;6.3;1.0;0.0;861.0;-37.8539;145.0284;4836.0
223;3;995000.0;6.3;2.0;2.0;0.0;-37.8552;145.016;4836.0
224;3;1205000.0;6.3;2.0;2.0;101.0;-37.854;145.0135;4836.0
225;3;1939000.0;6.3;2.0;2.0;296.0;-37.8614;145.0274;4836.0
226;1;421500.0;6.3;1.0;0.0;0.0;-37.853;145.0167;4836.0
227;3;1870000.0;6.3;1.0;1.0;217.0;-37.8592;145.0182;4836.0
228;2;678000.0;6.3;1.0;2.0;0.0;-37.8538;145.0127;4836.0
229;3;1918000.0;6.3;2.0;2.0;0.0;-37.8537;145.0267;4836.0
230;2;660000.0;6.3;1.0;1.0;0.0;-37.8619;145.0257;4836.0
231;3;2050000.0;6.3;2.0;1.0;205.0;-37.8574;145.0281;4836.0
232;2;700000.0;6.3;1.0;2.0;0.0;-37.8552;145.016;4836.0
233;2;3625000.0;6.3;2.0;2.0;0.0;-37.8555;145.0291;4836.0
234;4;3000000.0;6.3;2.0;2.0;1581.0;-37.858;145.0111;4836.0
235;5;1525000.0;6.3;2.0;2.0;693.0;-37.8638;145.0229;4836.0
236;3;735000.0;6.3;2.0;1.0;2113.0;-37.8543;145.0262;4836.0
237;2;825000.0;6.3;1.0;1.0;0.0;-37.8528;145.0268;4836.0
238;3;1586000.0;6.3;2.0;2.0;246.0;-37.8566;145.0116;4836.0
239;2;645000.0;6.3;1.0;1.0;0.0;-37.8596;145.0198;4836.0
240;1;1435000.0;6.3;2.0;1.0;144.0;-37.8564;145.0228;4836.0
241;1;280000.0;6.3;1.0;1.0;0.0;-37.8619;145.0185;4836.0
242;1;400000.0;6.3;1.0;1.0;0.0;-37.8605;145.0185;4836.0
243;2;1780000.0;6.3;2.0;2.0;0.0;-37.8537;145.0267;4836.0
244;2;592500.0;6.3;1.0;1.0;0.0;-37.8574;145.0174;4836.0
245;2;1210000.0;6.3;1.0;0.0;249.0;-37.8543;145.016;4836.0
246;4;2801000.0;6.3;2.0;2.0;624.0;-37.8536;145.0173;4836.0
247;1;390000.0;6.3;1.0;0.0;881.0;-37.8614;145.0222;4836.0
248;3;1800000.0;6.3;2.0;2.0;405.0;-37.8545;145.0145;4836.0
249;4;2200000.0;6.3;1.0;2.0;495.0;-37.8613;145.0264;4836.0
250;1;324000.0;6.3;1.0;1.0;0.0;-37.8537;145.0114;4836.0
251;6;5525000.0;6.3;3.0;4.0;1491.0;-37.8602;145.013;4836.0
252;2;1125000.0;6.3;1.0;2.0;169.0;-37.851;145.0161;4836.0
253;3;2250000.0;6.3;3.0;1.0;301.0;-37.8511;145.0167;4836.0
254;3;2360000.0;6.3;2.0;0.0;336.0;-37.8558;145.015;4836.0
255;2;1900000.0;6.3;2.0;0.0;207.0;-37.8571;145.0224;4836.0
256;1;440000.0;6.3;1.0;1.0;0.0;-37.8531;145.0115;4836.0
257;2;490000.0;6.3;1.0;1.0;0.0;-37.8646;145.0247;4836.0
258;3;2365000.0;6.3;2.0;1.0;316.0;-37.8521;145.019;4836.0
259;3;1300000.0;6.3;1.0;2.0;212.0;-37.8542;145.0149;4836.0
260;3;732000.0;6.3;2.0;2.0;0.0;-37.8597;145.0104;4836.0
261;2;704000.0;6.3;1.0;1.0;0.0;-37.8573;145.0186;4836.0
262;2;620000.0;6.3;1.0;1.0;0.0;-37.8596;145.0198;4836.0
263;3;1900000.0;6.3;1.0;2.0;328.0;-37.8559;145.0158;4836.0
264;1;315000.0;6.3;1.0;1.0;0.0;-37.8575;145.0174;4836.0
265;1;450000.0;6.3;1.0;1.0;0.0;-37.8509;145.0203;4836.0
266;2;710000.0;6.3;1.0;1.0;2471.0;-37.8573;145.0186;4836.0
267;2;872000.0;6.3;1.0;1.0;1194.0;-37.8604;145.0147;4836.0
268;2;598000.0;6.3;1.0;1.0;0.0;-37.8593;145.0156;4836.0
269;3;1285000.0;6.3;1.0;2.0;186.0;-37.8554;145.0173;4836.0
270;4;3660000.0;6.3;3.0;2.0;421.0;-37.8593;145.0275;4836.0
271;2;520000.0;6.3;1.0;1.0;0.0;-37.8618;145.0183;4836.0
272;4;3625000.0;6.3;1.0;2.0;709.0;-37.8574;145.016;4836.0
273;4;4200000.0;6.3;3.0;3.0;563.0;-37.8582;145.0138;4836.0
274;3;1101000.0;6.3;1.0;2.0;103.0;-37.8542;145.0135;4836.0
275;3;3512500.0;6.3;2.0;2.0;617.0;-37.8557;145.0264;4836.0
276;4;2000000.0;6.3;3.0;4.0;544.0;-37.8611;145.0195;4836.0
277;3;869000.0;6.3;1.0;1.0;0.0;-37.853;145.0264;4836.0
278;5;2810000.0;6.3;2.0;2.0;617.0;-37.8611;145.0271;4836.0
279;2;565000.0;6.3;1.0;1.0;0.0;-37.8573;145.0112;4836.0
280;1;567000.0;6.3;1.0;1.0;0.0;-37.8549;145.0113;4836.0
281;2;546000.0;6.3;0.0;0.0;0.0;-37.8568;145.0161;4836.0
282;2;471500.0;6.3;1.0;1.0;0.0;-37.8503;145.0185;4836.0
283;2;455000.0;5.9;1.0;2.0;0.0;-37.7756;144.9165;6567.0
284;3;940000.0;5.9;1.0;2.0;298.0;-37.7777;144.9195;6567.0
285;2;467000.0;5.9;1.0;1.0;0.0;-37.7761;144.9201;6567.0
286;3;1380000.0;5.9;2.0;2.0;277.0;-37.7777;144.9221;6567.0
287;2;490000.0;5.9;1.0;1.0;423.0;-37.7736;144.9015;6567.0
288;4;1850000.0;5.9;3.0;1.0;478.0;-37.7729;144.9179;6567.0
289;3;1284000.0;5.9;1.0;2.0;623.0;-37.7758;144.9089;6567.0
290;3;971000.0;5.9;2.0;2.0;285.0;-37.775;144.9091;6567.0
291;2;710000.0;5.9;1.0;1.0;214.0;-37.7776;144.9142;6567.0
292;6;2425000.0;5.9;3.0;2.0;1014.0;-37.7721;144.9184;6567.0
293;2;750000.0;5.9;1.0;1.0;226.0;-37.7745;144.9093;6567.0
294;2;1053000.0;5.9;1.0;1.0;269.0;-37.7748;144.929;6567.0
295;3;1377000.0;5.9;1.0;1.0;417.0;-37.7756;144.9208;6567.0
296;3;970000.0;5.9;1.0;2.0;350.0;-37.7759;144.91;6567.0
297;2;940000.0;5.9;1.0;1.0;330.0;-37.773;144.9049;6567.0
298;2;751000.0;5.9;1.0;1.0;118.0;-37.7807;144.9288;6567.0
299;2;950000.0;5.9;1.0;1.0;173.0;-37.7731;144.9206;6567.0
300;2;685000.0;5.9;1.0;2.0;228.0;-37.7718;144.9066;6567.0
301;3;1230000.0;5.9;1.0;2.0;594.0;-37.7819;144.9064;6567.0
302;2;636500.0;5.9;1.0;1.0;0.0;-37.7738;144.9345;6567.0
303;3;910000.0;5.9;1.0;0.0;317.0;-37.7746;144.9112;6567.0
304;2;770000.0;5.9;1.0;1.0;226.0;-37.7774;144.9186;6567.0
305;3;960000.0;5.9;2.0;2.0;229.0;-37.7778;144.9065;6567.0
306;4;890000.0;5.9;1.0;1.0;300.0;-37.7766;144.9143;6567.0
307;2;965000.0;5.9;1.0;1.0;170.0;-37.7732;144.9206;6567.0
308;3;1440000.0;5.9;1.0;1.0;487.0;-37.7725;144.9146;6567.0
309;2;955000.0;5.9;1.0;0.0;255.0;-37.7825;144.9208;6567.0
310;2;450000.0;5.9;1.0;1.0;0.0;-37.7731;144.9074;6567.0
311;3;801000.0;5.9;1.0;2.0;431.0;-37.781;144.9207;6567.0
312;3;1000000.0;5.9;2.0;2.0;440.0;-37.7746;144.9031;6567.0
313;3;1435000.0;5.9;2.0;2.0;532.0;-37.7737;144.904;6567.0
314;1;390000.0;5.9;1.0;1.0;0.0;-37.7723;144.9094;6567.0
315;3;1425000.0;5.9;2.0;2.0;495.0;-37.7821;144.9055;6567.0
316;4;1340000.0;5.9;2.0;2.0;683.0;-37.775;144.93200000000004;6567.0
317;3;955000.0;5.9;1.0;1.0;263.0;-37.7753;144.9116;6567.0
318;4;1100000.0;5.9;2.0;5.0;559.0;-37.7791;144.9136;6567.0
319;3;1255000.0;5.9;2.0;2.0;308.0;-37.7759;144.9338;6567.0
320;2;432000.0;5.9;1.0;1.0;0.0;-37.773;144.9303;6567.0
321;4;1640000.0;5.9;3.0;2.0;562.0;-37.782;144.903;6567.0
322;6;1430000.0;5.9;2.0;1.0;461.0;-37.78;144.9295;6567.0
323;2;610000.0;5.9;1.0;1.0;301.0;-37.7791;144.914;6567.0
324;3;940000.0;5.9;3.0;1.0;491.0;-37.7727;144.9136;6567.0
325;3;890000.0;5.9;1.0;1.0;242.0;-37.7765;144.9114;6567.0
326;3;1180000.0;5.9;2.0;2.0;617.0;-37.7742;144.906;6567.0
327;4;1480000.0;5.9;2.0;2.0;597.0;-37.7757;144.9088;6567.0
328;2;1150000.0;5.9;1.0;1.0;387.0;-37.7734;144.9191;6567.0
329;3;1350000.0;5.9;1.0;3.0;575.0;-37.7828;144.9049;6567.0
330;5;1905000.0;5.9;2.0;2.0;521.0;-37.7778;144.9261;6567.0
331;2;865000.0;5.9;2.0;1.0;146.0;-37.7713;144.9038;6567.0
332;2;705000.0;5.9;2.0;1.0;113.0;-37.7712;144.9088;6567.0
333;2;442000.0;5.9;1.0;1.0;0.0;-37.7733;144.9219;6567.0
334;2;540000.0;5.9;2.0;1.0;0.0;-37.7786;144.9141;6567.0
335;3;1037500.0;5.9;1.0;2.0;506.0;-37.7779;144.9133;6567.0
336;3;1050000.0;5.9;2.0;2.0;318.0;-37.7744;144.9035;6567.0
